Author,Message,Timestamp
ropf,"Hello, BDSA students!",1690891760
adho,"Welcome to the course!",1690978778
adho,"I hope you had a good summer.",1690979858
ropf,"Cheeping cheeps on Chirp :)",1690981487
albertebuelow,yolo,1725457916
albertebuelow,tak,1725457931
albertebuelow,yo bro,1725954264
karolinepetersson,Hello world,1725954796
karolinepetersson,Yolo,1725958950
oliviabrophy,hihi,1725963344
Stina,hej,1725974433
Stina,hej,1725974769
Stina,"hej1 , hello",1725974879
Stina,yolo,1725974944
karolinepetersson,heylo,1725976546
oliviabrophy,Hejsa,1726066194
oliviabrophy,Hejsaaaaa,1726066275
oliviabrophy,yolo,1726066441
oliviabrophy,tihi,1726066458
oliviabrophy,fuck u,1726066471
oliviabrophy,hej,1726067080
oliviabrophy,helle,1726067649
oliviabrophy,solution works?,1726574870
albertebuelow,is this really the singleton pattern?,1726583961
